trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,customer_country,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,merchant_country,is_fraud
2020-07-24 16:15:59,180084576295055,Collier LLC,home,15.82,David,Kirby,M,133 Alyssa Plains,Lolita,TX,77971.0,28.7724,-96.4793,United States,911.0,Archaeologist,1970-01-18,3bc201d44ecf430a4e03ed6d25ca23d2,1374682559.0,27.906484000000003,-97.220035,United States,0.0
2020-09-21 07:47:22,6544734391390261,"Moen, Reinger and Murphy",grocery_pos,84.84,John,Myers,M,701 Wilson Divide,Highland,IN,46322.0,41.55,-87.4569,United States,23727.0,Community arts worker,1982-02-08,6006a98eca263fa0062ef11b86455b33,1379749642.0,41.527986,-87.473589,United States,0.0
2020-07-11 21:56:16,3582402971899057,Schmeler-Howe,personal_care,8.78,Michele,Patrick,F,557 Lynn Garden Suite 907,Spirit Lake,ID,83869.0,47.9657,-116.868,United States,4161.0,Production manager,1957-06-12,0a5eaa680742f1aec5839690bdeccbff,1373579776.0,48.400235,-116.989211,United States,0.0
2020-07-15 23:20:15,675990301623,Kihn-Fritsch,food_dining,24.48,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439.0,41.0767,-74.5982,United States,2456.0,Senior tax professional/tax inspector,1994-03-13,e5a556280c8542ad31191290cf63f7df,1373930415.0,42.060049,-73.867522,United States,0.0
2020-08-24 19:57:22,38580485618059,Shanahan-Lehner,personal_care,43.53,Teresa,Clark,F,1323 Derek Mission,Noonan,ND,58765.0,48.8856,-103.0098,United States,248.0,Industrial/product designer,1968-05-13,3a12d27f9098f662d23e83b1223ac6f9,1377374242.0,48.066747,-102.191489,United States,0.0
2020-06-24 10:53:05,2229378226512508,Kuhic Inc,grocery_pos,95.72,Thomas,Hale,M,949 Smith Parkway,Cazenovia,WI,53924.0,43.4987,-90.2796,United States,1360.0,Occupational hygienist,1984-11-06,d3740b4f0913b7f143cecd5453dfa7c2,1372071185.0,43.6861,-91.247078,United States,0.0
2020-08-10 05:10:27,4822367783500458,"Lockman, West and Runte",grocery_pos,86.54,Christopher,Farrell,M,97070 Anderson Land,Haines City,FL,33844.0,28.0758,-81.5929,United States,33804.0,Exercise physiologist,1991-01-01,80182c3266b58b3f58aae3a5ec17cdab,1376111427.0,27.209285,-82.177269,United States,0.0
2020-07-05 07:41:55,180065479077096,Hickle Group,shopping_pos,236.84,Krystal,Gamble,F,47152 Clayton Burg,Manchester,MD,21102.0,39.6747,-76.8941,United States,11751.0,Clinical research associate,1964-02-15,03db0ddd3f2af00c5122e135a0cde9f4,1373010115.0,39.475008,-75.990438,United States,0.0
2020-08-27 23:48:53,4512828414983801773,Barrows PLC,shopping_pos,6.06,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484.0,39.8936,-79.7856,United States,328.0,Tree surgeon,1983-07-25,f67299dd336f03fe25776fc990630640,1377647333.0,39.409016,-80.355562,United States,0.0
2020-08-24 12:46:33,5540636818935089,"O'Reilly, Mohr and Purdy",home,78.78,Kenneth,Foster,M,329 Michael Extension,Lawrence,MA,1843.0,42.6911,-71.1605,United States,76383.0,Geoscientist,1985-04-04,4784fb35846ae98f418a2c9debc571f7,1377348393.0,42.77896,-71.7726,United States,0.0
2020-07-25 16:37:05,4079773899158,"Cole, Hills and Jewess",home,46.11,Eric,Preston,M,7020 Doyle Stream Apt. 951,Mesa,ID,83643.0,44.6255,-116.4493,United States,129.0,Cartographer,1965-12-15,52e405634f0d9fe75e26d0af3c920137,1374770225.0,43.636257,-115.55388899999998,United States,0.0
2020-07-24 03:59:18,4861310130652566408,Stamm-Rodriguez,misc_pos,4.3,Ashley,Cruz,F,65417 Walsh Radial Suite 691,Saint Amant,LA,70774.0,30.2385,-90.8435,United States,10076.0,"Surveyor, rural practice",1977-12-16,393766ce943e82af28b52022747c1b86,1374638358.0,30.659493,-90.468761,United States,0.0
2020-08-17 17:15:53,4158945090781624,Champlin and Sons,home,4.48,Justin,Bell,M,5323 Walker Island,Pittsburgh,PA,15217.0,40.4308,-79.9205,United States,687276.0,"Scientist, marine",1973-10-19,416628c3bb7a21a1b5dc32fca805b156,1376759753.0,40.398133,-79.377453,United States,0.0
2020-07-08 08:59:36,675945690716,Marks Inc,gas_transport,49.27,Ellen,Smith,F,285 George Lake,Beaver Falls,PA,15010.0,40.7687,-80.3592,United States,28425.0,Podiatrist,2000-06-09,77bbbf6e33b53102e478e66697e98b5d,1373273976.0,39.847397,-80.344891,United States,0.0
2020-08-23 07:05:21,3583793405872580,"Christiansen, Goyette and Schamberger",gas_transport,66.77,Beth,Lambert,F,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564.0,34.847,-98.9836,United States,551.0,Amenity horticulturist,1970-09-27,b96918f66b2d51164215472ba1a245e7,1377241521.0,34.562263,-99.607585,United States,0.0
2020-07-09 23:05:18,30143535920989,"O'Reilly, Mohr and Purdy",home,78.37,Lisa,Collins,F,44197 Jeffrey Port Suite 050,Bridgeport,NJ,8014.0,39.8016,-75.3478,United States,504.0,"Engineer, control and instrumentation",1980-08-17,1eb9e5ed7664a79f9f3ec6dc4e2a9bb5,1373411118.0,40.154417,-74.964225,United States,0.0
2020-08-27 10:48:12,180067784565096,"Olson, Becker and Koch",gas_transport,59.65,Mary,Juarez,F,35440 Ryan Islands,North Prairie,WI,53153.0,42.9385,-88.395,United States,2328.0,Applications developer,1942-01-06,818bac9dd1b343af79934e38d8424912,1377600492.0,43.207707,-88.373311,United States,0.0
2020-06-27 10:15:41,4220345354880,Jakubowski Group,food_dining,70.14,Patrick,Torres,M,27386 Snyder Station,Oxford,MI,48371.0,42.8223,-83.2829,United States,24840.0,Agricultural consultant,1960-01-20,d8b9c1c0ccdfbe569d6416d3ec8c413a,1372328141.0,42.427643,-82.75964499999999,Canada,0.0
2020-07-05 23:15:38,4410582919485061752,"Roberts, Ryan and Smith",personal_care,64.86,David,Cole,M,7955 Allen Orchard Apt. 336,Springfield,GA,31329.0,32.3697,-81.3618,United States,9034.0,"Therapist, occupational",1969-03-02,8bd4ce7a6cd9a164e7dced431d3be5bf,1373066138.0,32.453384,-80.55399799999999,United States,0.0
2020-08-04 15:26:16,375534208663984,O'Keefe-Wisoky,food_dining,62.66,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433.0,38.4207,-79.4629,United States,99.0,Dance movement psychotherapist,1986-03-28,b20821087c4192e013c66b3ebbd4d920,1375629976.0,38.091071,-80.351567,United States,0.0
2020-06-24 18:34:33,3596357274378601,Terry-Huel,shopping_net,212.07,David,Everett,M,4138 David Fall,Morrisdale,PA,16858.0,41.0001,-78.2357,United States,3688.0,Advice worker,1973-05-27,d180baa0f34bb22e4cc3566605d9eb10,1372098873.0,40.51102,-77.397953,United States,0.0
2020-07-01 19:19:02,30551643947183,Gaylord-Powlowski,home,88.86,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073.0,35.1836,-81.4552,United States,5621.0,Toxicologist,1973-11-14,88816154b1e6a6c90eb706802f2ab879,1372706342.0,35.242955,-80.578416,United States,0.0
2020-08-03 21:32:36,30518206766474,"Koss, McLaughlin and Mayer",food_dining,3.18,Tamara,Martinez,F,471 Marquez Prairie Suite 680,Matthews,MO,63867.0,36.7154,-89.6287,United States,1019.0,Aeronautical engineer,1979-01-26,cc74d8b0f7c40a93893b5f683f4408fa,1375565556.0,36.192639,-88.70682,United States,0.0
2020-09-07 14:19:43,213191402330021,Jewess LLC,shopping_pos,4.05,Thomas,Sullivan,M,464 Newman Crossroad,Milwaukee,WI,53228.0,42.9676,-88.0434,United States,817312.0,"Accountant, chartered public finance",2004-03-18,3c305f63ba048b8c5d1d38c824770dac,1378563583.0,43.500994,-87.928012,United States,0.0
2020-07-04 20:08:57,3559679414981506,Connelly-Carter,home,62.91,Olivia,Stephenson,F,292 Cassidy Oval,Lowville,NY,13367.0,43.7893,-75.4156,United States,8830.0,Theme park manager,1991-03-29,50e9ea458948f2db12082eb1e5c5dcc2,1372968537.0,44.595916,-75.83193,Canada,0.0
2020-09-14 22:42:57,3535808924394848,"Swaniawski, Nitzsche and Welch",health_fitness,76.39,Matthew,Myers,M,4936 Michelle Points,Tower Hill,IL,62571.0,39.39,-88.9597,United States,1532.0,Radio broadcast assistant,1980-01-09,0d675e245dfe8e0e8a922bc599d9016a,1379198577.0,39.813041,-89.394581,United States,0.0
2020-07-03 06:17:44,5501083170975659,Prohaska-Murray,gas_transport,61.97,Wayne,Payne,M,587 Bradley Inlet Suite 281,Cuyahoga Falls,OH,44223.0,41.1464,-81.5107,United States,47772.0,Equities trader,1966-01-04,985c2cbf08749f055bb03b26173ab8a0,1372832264.0,40.251509000000006,-81.908401,United States,0.0
2020-07-18 12:41:00,4707867759656333,"Effertz, Welch and Schowalter",entertainment,9.47,Susan,Shah,F,9016 Jordan Bypass Apt. 516,Cranks,KY,40820.0,36.7558,-83.1838,United States,581.0,"Psychologist, counselling",1967-02-04,eaf3053345f242594f3f2ee908882c82,1374151260.0,36.515316,-83.291487,United States,0.0
2020-08-26 13:18:59,4464457352619,"Durgan, Gislason and Spencer",home,29.32,Breanna,Rodriguez,F,118 Cabrera Springs Apt. 105,Lanark Village,FL,32323.0,29.8826,-84.5964,United States,217.0,Television production assistant,1990-01-24,69482d3e01fc34d378952c2f5f9c9d44,1377523139.0,30.585849,-85.030004,United States,0.0
2020-06-22 23:59:00,4451952084362894,"Reinger, Weissnat and Strosin",food_dining,52.16,Joseph,Davis,M,941 Adam Stravenue,Nazareth,TX,79063.0,34.5444,-102.1069,United States,686.0,Petroleum engineer,1980-07-30,2e2c3d7f9ef24c8cfb99412932a14086,1371945540.0,35.412475,-102.848669,United States,0.0
2020-08-23 22:58:06,4745996322265,Gaylord-Powlowski,home,8.57,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346.0,41.4802,-86.6919,United States,1423.0,"Psychologist, forensic",1998-10-07,4635844e82f4a1e74c2553d1691ca507,1377298686.0,41.790282,-86.171617,United States,0.0
2020-08-28 22:14:55,4149238353975790,Tillman LLC,travel,454.3,Tanner,Carroll,M,494 Burke Ports,Cokeburg,PA,15324.0,40.1008,-80.0652,United States,632.0,Dealer,1989-04-08,ee2fe367d1628291fb6ab2ad3b91bd10,1377728095.0,41.009494,-80.117503,United States,0.0
2020-08-29 10:28:37,6011109736646996,Shields Inc,grocery_net,64.21,Rebecca,Erickson,F,594 Berry Lights Apt. 392,Wilmington,NC,28405.0,34.2651,-77.867,United States,186140.0,English as a second language teacher,1983-02-08,09949a2e7963c0ab0514a4684ee4dcb7,1377772117.0,34.149264,-78.332049,United States,0.0
2020-06-28 20:07:12,3543591270174051,"Kuhic, Bins and Pfeffer",shopping_net,3.24,Margaret,Lam,F,6911 Nicholas Keys Apt. 237,Armagh,PA,15920.0,40.4603,-79.0097,United States,922.0,Early years teacher,1972-10-04,0a719a8f4b3356bd8e09262ac8739ec3,1372450032.0,40.585832,-79.089959,United States,0.0
2020-06-30 23:54:01,503874407318,"Labadie, Treutel and Bode",shopping_net,6.09,Andrew,Mcgee,M,4130 Tiffany Glen Apt. 562,San Antonio,TX,78248.0,29.5894,-98.5201,United States,1595797.0,Exhibition designer,1975-12-28,fcc24a88beee851e534a523779819097,1372636441.0,28.9449,-98.286513,United States,0.0
